AFp1,AFp2,C3,C4,P7,P8,O1,O2,timestamp
42941.145,42129.527,-38259.28,-40270.734,-39635.723,53376.95,52527.36,52232.027,10397.360470924606
43011.06,42185.855,-38517.22,-40677.785,-40148.27,53367.383,52529.258,52230.684,10397.36449429157
43018.793,42157.6,-38235.32,-40335.6,-39816.637,53374.0,52533.977,52235.445,10397.368517658535
42953.883,42080.734,-37737.703,-39670.03,-39111.35,53384.883,52534.176,52239.914,10397.3725410255
42910.05,42071.816,-37859.004,-39646.875,-39077.355,53384.707,52529.55,52237.59,10397.376564392463
42939.848,42130.42,-38265.72,-40151.49,-39632.637,53376.08,52528.188,52233.59,10397.380587759428
43006.836,42184.36,-38518.227,-40551.363,-40140.87,53369.125,52533.574,52235.156,10397.384611126392
43014.902,42154.137,-38246.605,-40217.113,-39819.7,53376.66,52539.92,52241.57,10397.388634493356
42950.934,42080.11,-37741.277,-39498.484,-39110.77,53384.15,52536.547,52242.71,10397.39265786032
42902.562,42066.387,-37803.19,-39608.543,-39054.555,53383.723,52530.62,52239.56,10397.396681227285
42931.285,42121.727,-38208.387,-40546.758,-39590.168,53377.754,52530.4,52237.01,10397.400704594249
43000.13,42176.914,-38445.336,-41005.637,-40106.273,53369.617,52534.133,52237.01,10397.404727961213
43010.902,42149.266,-38185.63,-40680.71,-39796.59,53374.6,52537.797,52240.676,10397.408751328177
42947.223,42077.81,-37685.242,-40009.98,-39106.566,53384.57,52536.97,52244.207,10397.412774695142
42895.145,42063.727,-37792.375,-39964.137,-39055.45,53383.363,52530.375,52240.34,10397.416798062106
42923.375,42120.812,-38221.24,-40464.523,-39603.535,53376.992,52529.082,52236.7,10397.42082142907
43001.715,42184.38,-38480.676,-40880.11,-40126.656,53370.176,52534.223,52238.04,10397.424844796034
43015.73,42160.082,-38230.848,-40562.87,-39824.484,53376.95,52540.258,52243.45,10397.428868162999
42949.19,42080.89,-37717.473,-39879.51,-39129.344,53388.168,52540.906,52247.875,10397.432891529963
42897.625,42064.082,-37816.223,-39828.06,-39091.324,53390.67,52537.863,52247.227,10397.436914896927
42926.996,42121.707,-38242.605,-40327.375,-39635.277,53384.973,52538.176,52245.617,10397.440938263891
42999.258,42178.48,-38504.277,-40750.227,-40164.496,53376.613,52542.066,52245.594,10397.444961630856
43014.613,42151.836,-38235.832,-40445.19,-39872.113,53380.883,52545.844,52248.723,10397.44898499782
42946.844,42075.324,-37740.832,-39777.098,-39144.7,53389.043,52543.723,52250.49,10397.453008364784
42901.535,42063.344,-37841.684,-39728.594,-39076.863,53390.984,52540.1,52249.324,10397.457031731748
42933.363,42120.387,-38263.594,-40225.473,-39621.395,53385.375,52540.95,52247.56,10397.461055098713
43008.29,42178.926,-38518.113,-40644.57,-40145.836,53377.934,52545.44,52248.723,10397.465078465677
43019.664,42153.58,-38252.934,-40341.145,-39859.24,53384.684,52551.254,52254.332,10397.469101832641
